"('Big Ten', 18)","('SEC', 26)","('ACC', 62)","('Big 12', 71)","('FBS Indep.', 'DNS')","('American', 'DNS')","('Mountain West', 'DNS')"
"('Ohio State', 1)","('LSU', 3)","('Miami', 4)","('Iowa State', 12)","('Notre Dame', 24)","('South Florida', 27)","('UNLV', 39)"
"('Penn State', 2)","('Georgia', 5)","('Florida St', 7)","('Utah', 16)",,"('Tulane', 32)",
"('Oregon', 6)","('Texas', 8)","('Georgia Tech', 18)","('Texas Tech', 17)",,"('Navy', 40)",
"('Illinois', 9)","('Texas A&M', 10)","('Louisville', 33)","('BYU', 26)",,,
"('Indiana', 19)","('Oklahoma', 11)","('Clemson', 35.5)","('TCU', 30)",,,
"('Michigan', 21)","('Ole Miss', 13)","('SMU', 37.5)","('Arizona St', 31)",,,
"('USC', 25)","('Alabama', 14)","('NC State', 37.5)","('Baylor', 35.5)",,,
"('Nebraska', 34)","('Tennessee', 15)",,,,,
,"('Vanderbilt', 20)",,,,,
,"('Auburn', 22)",,,,,
,"('Missouri', 23)",,,,,
,"('South Carolina', 28)",,,,,
,"('Mississippi St', 29)",,,,,
