"('Big Ten', 26)","('ACC', 59)","('SEC', 23)","('Big 12', 70)","('FBS Indep.', 'DNS')","('American', 117)","('Mountain West', 'DNS')"
"('Ohio State', 1)","('Miami', 2)","('Ole Miss', 4)","('Texas Tech', 9)","('Notre Dame', 16)","('Memphis', 23)","('UNLV', 32)"
"('Oregon', 3)","('Georgia Tech', 13)","('Texas A&M', 5)","('BYU', 18)",,"('South Florida', 24)",
"('Indiana', 7)","('Virginia', 19)","('Oklahoma', 6)","('Arizona St', 21)",,"('North Texas', 33)",
"('Michigan', 15)","('Florida St', 25)","('Alabama', 8)","('Iowa State', 22)",,"('Navy', 37)",
"('Illinois', 17)","('Louisville', 38)","('Georgia', 10)","('Cincinnati', 26)",,,
"('Penn State', 28)",,"('LSU', 11)","('Utah', 29)",,,
"('Nebraska', 30)",,"('Tennessee', 12)","('TCU', 34)",,,
"('USC', 31)",,"('Missouri', 14)",,,,
"('Washington', 35.5)",,"('Vanderbilt', 20)",,,,
,,"('Texas', 27)",,,,
,,"('Mississippi St', 35.5)",,,,
,,"('Auburn', 39)",,,,
