AP_XC_5_Team_Race,SEC,Big Ten,ACC,FBS Indep.,Big 12,Mountain West,American,MAC,Sun Belt,CUSA
Preseason,36.0,38.0,90.0,,99.0,,,,,
Week 2,37.0,35.0,72.0,,103.0,,,,,
Week 3,40.0,38.0,88.0,,108.0,,,,,
Week 4,37.0,37.0,97.5,,101.0,,,,,
Week 5,35.0,40.0,,,104.0,,,,,
Week 6,34.0,38.0,92.0,,100.0,,,,,
Week 7,33.0,43.0,97.0,,96.0,,,,,
Week 8,34.0,57.0,,,,,,,,
Week 9,30.0,57.0,,,97.0,,,,,
Week 10,28.0,53.0,85.5,,86.5,,142.0,,,
Week 11,30.0,50.0,88.0,,92.0,,,,,
Week 12,28.0,45.0,92.0,,87.0,,,,,
Week 13,30.0,43.5,106.0,,84.5,,147.0,,,
Week 14,31.0,42.0,102.0,,87.0,,,,,
Week 15,,,,,,,,,,
Week 16,,,,,,,,,,
Final,,,,,,,,,,
