"('Big Ten', 35)","('SEC', 37)","('ACC', 72)","('FBS Indep.', 'DNS')","('Big 12', 103)","('American', 'DNS')","('Mountain West', 'DNS')","('CUSA', 'DNS')","('Sun Belt', 'DNS')"
"('Ohio State', 1)","('LSU', 3)","('Miami', 5)","('Notre Dame', 9)","('Arizona St', 12)","('South Florida', 33)","('UNLV', 38.5)","('Liberty', 38.5)","('James Madison', 38.5)"
"('Penn State', 2)","('Georgia', 4)","('Clemson', 8)",,"('Iowa State', 16)","('Tulane', 34)",,,
"('Oregon', 6)","('Texas', 7)","('Florida St', 14)",,"('Texas Tech', 24)","('Navy', 43.0)",,,
"('Illinois', 11)","('South Carolina', 10)","('SMU', 17)",,"('Utah', 25)","('Memphis', 43.0)",,,
"('Michigan', 15)","('Florida', 13)","('Georgia Tech', 28)",,"('BYU', 26)",,,,
"('Indiana', 23)","('Oklahoma', 18)","('Louisville', 30)",,"('TCU', 31)",,,,
"('USC', 29)","('Texas A&M', 19)","('Duke', 38.5)",,"('Kansas St', 36)",,,,
"('Nebraska', 35)","('Ole Miss', 20)","('Virginia', 43.0)",,"('Baylor', 43.0)",,,,
,"('Alabama', 21)","('Pitt', 43.0)",,,,,,
,"('Tennessee', 22)",,,,,,,
,"('Auburn', 27)",,,,,,,
,"('Missouri', 32)",,,,,,,
