"('Big Ten', 40)","('ACC', 'DNS')","('SEC', 35)","('Big 12', 104)","('FBS Indep.', 'DNS')","('American', 'DNS')","('Mountain West', 'DNS')"
"('Ohio State', 1)","('Miami', 2)","('LSU', 4)","('Texas Tech', 12)","('Notre Dame', 22)","('South Florida', 28)","('UNLV', 34.5)"
"('Penn State', 3)","('Florida St', 8)","('Georgia', 5)","('Iowa State', 14)",,"('Memphis', 31.5)",
"('Oregon', 6)","('Georgia Tech', 16)","('Oklahoma', 7)","('TCU', 24)",,"('North Texas', 36)",
"('Indiana', 11)","('Louisville', 31.5)","('Texas A&M', 9)","('BYU', 25)",,,
"('Michigan', 19)",,"('Texas', 10)","('Utah', 29)",,,
"('USC', 21)",,"('Ole Miss', 13)","('Arizona St', 30)",,,
"('Illinois', 23)",,"('Tennessee', 15)","('UCF', 34.5)",,,
"('Maryland', 33)",,"('Alabama', 17)",,,,
,,"('Vanderbilt', 18)",,,,
,,"('Missouri', 20)",,,,
,,"('Auburn', 26)",,,,
,,"('Mississippi St', 27)",,,,
