"('Big Ten', 38)","('ACC', 92)","('SEC', 34)","('Big 12', 100)","('FBS Indep.', 'DNS')","('American', 'DNS')","('Mountain West', 'DNS')"
"('Ohio State', 1)","('Miami', 3)","('Ole Miss', 4)","('Texas Tech', 11)","('Notre Dame', 21)","('South Florida', 26)","('UNLV', 35)"
"('Oregon', 2)","('Georgia Tech', 17)","('Oklahoma', 5)","('Iowa State', 14)",,"('Memphis', 29)",
"('Penn State', 7)","('Florida St', 18)","('Texas A&M', 6)","('BYU', 23)",,"('North Texas', 32.5)",
"('Indiana', 8)","('Virginia', 24)","('Texas', 9)","('Arizona St', 25)",,,
"('Michigan', 20)","('Louisville', 30)","('Alabama', 10)","('Utah', 27)",,,
"('Illinois', 22)",,"('Georgia', 12)","('TCU', 34)",,,
"('USC', 31)",,"('LSU', 13)",,,,
"('Maryland', 32.5)",,"('Tennessee', 15)",,,,
,,"('Vanderbilt', 16)",,,,
,,"('Missouri', 19)",,,,
,,"('Mississippi St', 28)",,,,
